/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/0/60;24/19/96/71 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:00Z","tsi":1535940000,"spd":3.43,"hdg":167,"lat":60.197500,"long":24.961968,"acc":-0.49,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/71 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:01Z","tsi":1535940001,"spd":3.10,"hdg":167,"lat":60.197473,"long":24.961984,"acc":-0.32,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/3/60;24/19/96/72 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:02Z","tsi":1535940002,"spd":2.95,"hdg":167,"lat":60.197448,"long":24.962000,"acc":-0.16,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/72 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:03Z","tsi":1535940003,"spd":2.44,"hdg":167,"lat":60.197427,"long":24.962010,"acc":-0.51,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/72 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:04Z","tsi":1535940004,"spd":2.70,"hdg":167,"lat":60.197403,"long":24.962022,"acc":0.26,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/72 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:05Z","tsi":1535940005,"spd":2.82,"hdg":168,"lat":60.197378,"long":24.962029,"acc":0.12,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/72 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:06Z","tsi":1535940006,"spd":2.99,"hdg":167,"lat":60.197352,"long":24.962039,"acc":0.18,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/72 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:07Z","tsi":1535940007,"spd":3.14,"hdg":167,"lat":60.197324,"long":24.962056,"acc":0.15,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/72 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:08Z","tsi":1535940008,"spd":3.78,"hdg":167,"lat":60.197292,"long":24.962073,"acc":0.64,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/72 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:09Z","tsi":1535940009,"spd":3.66,"hdg":167,"lat":60.197260,"long":24.962092,"acc":-0.12,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/72 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:10Z","tsi":1535940010,"spd":3.13,"hdg":166,"lat":60.197233,"long":24.962110,"acc":-0.53,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/72 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:11Z","tsi":1535940011,"spd":4.75,"hdg":166,"lat":60.197192,"long":24.962131,"acc":1.62,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/72 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:12Z","tsi":1535940012,"spd":4.44,"hdg":167,"lat":60.197153,"long":24.962148,"acc":-0.31,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/72 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:13Z","tsi":1535940013,"spd":3.80,"hdg":167,"lat":60.197120,"long":24.962165,"acc":-0.64,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/72 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:14Z","tsi":1535940014,"spd":4.48,"hdg":167,"lat":60.197080,"long":24.962182,"acc":0.68,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/72 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:15Z","tsi":1535940015,"spd":4.11,"hdg":167,"lat":60.197045,"long":24.962205,"acc":-0.37,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/72 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:16Z","tsi":1535940016,"spd":4.42,"hdg":166,"lat":60.197007,"long":24.962227,"acc":0.31,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/3/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:17Z","tsi":1535940017,"spd":3.46,"hdg":166,"lat":60.196977,"long":24.962242,"acc":-0.96,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:18Z","tsi":1535940018,"spd":3.38,"hdg":166,"lat":60.196947,"long":24.962255,"acc":-0.08,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:19Z","tsi":1535940019,"spd":3.17,"hdg":167,"lat":60.196919,"long":24.962266,"acc":-0.21,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:20Z","tsi":1535940020,"spd":3.33,"hdg":166,"lat":60.196890,"long":24.962279,"acc":0.16,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:21Z","tsi":1535940021,"spd":3.56,"hdg":166,"lat":60.196859,"long":24.962293,"acc":0.23,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:22Z","tsi":1535940022,"spd":3.62,"hdg":166,"lat":60.196827,"long":24.962307,"acc":0.06,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:23Z","tsi":1535940023,"spd":4.01,"hdg":166,"lat":60.196791,"long":24.962321,"acc":0.39,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:24Z","tsi":1535940024,"spd":3.51,"hdg":167,"lat":60.196760,"long":24.962333,"acc":-0.50,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:25Z","tsi":1535940025,"spd":3.65,"hdg":166,"lat":60.196728,"long":24.962345,"acc":0.14,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:26Z","tsi":1535940026,"spd":3.58,"hdg":166,"lat":60.196697,"long":24.962359,"acc":-0.07,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:27Z","tsi":1535940027,"spd":3.36,"hdg":167,"lat":60.196668,"long":24.962376,"acc":-0.22,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:28Z","tsi":1535940028,"spd":3.13,"hdg":168,"lat":60.196640,"long":24.962383,"acc":-0.22,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:29Z","tsi":1535940029,"spd":4.10,"hdg":167,"lat":60.196603,"long":24.962392,"acc":0.96,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:30Z","tsi":1535940030,"spd":3.71,"hdg":167,"lat":60.196570,"long":24.962399,"acc":-0.39,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:31Z","tsi":1535940031,"spd":4.20,"hdg":167,"lat":60.196533,"long":24.962416,"acc":0.49,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/4/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:32Z","tsi":1535940032,"spd":4.55,"hdg":168,"lat":60.196493,"long":24.962429,"acc":0.36,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

/hfp/v1/journey/upcoming/tram/0040/00102/1001 4/2/Eira/05:05/1121437/5/60;24/19/96/62 {"VP":{"desi":"1","dir":"2","oper":40,"veh":102,"tst":"2018-09-03T02:00:33Z","tsi":1535940033,"spd":5.01,"hdg":167,"lat":60.196449,"long":24.962448,"acc":0.46,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":678,"line":28,"start":"05:05"}}

