/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/0/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:09:59Z","tsi":1535954999,"spd":0.00,"hdg":141,"lat":60.170428,"long":24.937815,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:00Z","tsi":1535955000,"spd":0.00,"hdg":141,"lat":60.170428,"long":24.937815,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:01Z","tsi":1535955001,"spd":0.00,"hdg":141,"lat":60.170428,"long":24.937814,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:02Z","tsi":1535955002,"spd":0.00,"hdg":141,"lat":60.170428,"long":24.937814,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:03Z","tsi":1535955003,"spd":0.00,"hdg":141,"lat":60.170428,"long":24.937814,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:04Z","tsi":1535955004,"spd":0.00,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:05Z","tsi":1535955005,"spd":0.00,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:06Z","tsi":1535955006,"spd":0.00,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:07Z","tsi":1535955007,"spd":0.00,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:08Z","tsi":1535955008,"spd":0.00,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:09Z","tsi":1535955009,"spd":0.00,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:10Z","tsi":1535955010,"spd":0.00,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:11Z","tsi":1535955011,"spd":0.00,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:12Z","tsi":1535955012,"spd":0.09,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.09,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:13Z","tsi":1535955013,"spd":0.09,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:14Z","tsi":1535955014,"spd":0.00,"hdg":141,"lat":60.170427,"long":24.937813,"acc":-0.09,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:15Z","tsi":1535955015,"spd":0.00,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:16Z","tsi":1535955016,"spd":0.00,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:17Z","tsi":1535955017,"spd":0.00,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:18Z","tsi":1535955018,"spd":0.00,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:19Z","tsi":1535955019,"spd":0.00,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:20Z","tsi":1535955020,"spd":0.00,"hdg":141,"lat":60.170427,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:21Z","tsi":1535955021,"spd":0.00,"hdg":141,"lat":60.170426,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:22Z","tsi":1535955022,"spd":0.00,"hdg":141,"lat":60.170426,"long":24.937813,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:23Z","tsi":1535955023,"spd":0.00,"hdg":141,"lat":60.170426,"long":24.937812,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:24Z","tsi":1535955024,"spd":0.00,"hdg":141,"lat":60.170426,"long":24.937812,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:25Z","tsi":1535955025,"spd":0.00,"hdg":141,"lat":60.170426,"long":24.937812,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:26Z","tsi":1535955026,"spd":0.00,"hdg":141,"lat":60.170426,"long":24.937812,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:27Z","tsi":1535955027,"spd":0.00,"hdg":141,"lat":60.170426,"long":24.937812,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:28Z","tsi":1535955028,"spd":0.00,"hdg":141,"lat":60.170426,"long":24.937812,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:29Z","tsi":1535955029,"spd":0.00,"hdg":141,"lat":60.170426,"long":24.937812,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:30Z","tsi":1535955030,"spd":0.00,"hdg":141,"lat":60.170426,"long":24.937812,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:31Z","tsi":1535955031,"spd":0.00,"hdg":141,"lat":60.170426,"long":24.937812,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:32Z","tsi":1535955032,"spd":0.00,"hdg":141,"lat":60.170425,"long":24.937811,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:33Z","tsi":1535955033,"spd":0.00,"hdg":141,"lat":60.170425,"long":24.937811,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:34Z","tsi":1535955034,"spd":0.00,"hdg":141,"lat":60.170425,"long":24.937811,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:35Z","tsi":1535955035,"spd":0.00,"hdg":141,"lat":60.170425,"long":24.937811,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:36Z","tsi":1535955036,"spd":0.00,"hdg":141,"lat":60.170425,"long":24.937811,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:37Z","tsi":1535955037,"spd":0.00,"hdg":141,"lat":60.170425,"long":24.937811,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:38Z","tsi":1535955038,"spd":0.00,"hdg":141,"lat":60.170425,"long":24.937810,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:39Z","tsi":1535955039,"spd":0.00,"hdg":141,"lat":60.170424,"long":24.937810,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:40Z","tsi":1535955040,"spd":0.00,"hdg":141,"lat":60.170424,"long":24.937810,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:41Z","tsi":1535955041,"spd":0.00,"hdg":141,"lat":60.170424,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:42Z","tsi":1535955042,"spd":0.00,"hdg":141,"lat":60.170424,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:43Z","tsi":1535955043,"spd":0.00,"hdg":141,"lat":60.170424,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:44Z","tsi":1535955044,"spd":0.00,"hdg":141,"lat":60.170424,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:45Z","tsi":1535955045,"spd":0.00,"hdg":141,"lat":60.170424,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:46Z","tsi":1535955046,"spd":0.00,"hdg":141,"lat":60.170424,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:47Z","tsi":1535955047,"spd":0.00,"hdg":141,"lat":60.170424,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:48Z","tsi":1535955048,"spd":0.00,"hdg":141,"lat":60.170424,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:49Z","tsi":1535955049,"spd":0.00,"hdg":141,"lat":60.170424,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:50Z","tsi":1535955050,"spd":0.00,"hdg":141,"lat":60.170423,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:51Z","tsi":1535955051,"spd":0.00,"hdg":141,"lat":60.170423,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:52Z","tsi":1535955052,"spd":0.09,"hdg":141,"lat":60.170423,"long":24.937809,"acc":0.09,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:53Z","tsi":1535955053,"spd":0.00,"hdg":141,"lat":60.170423,"long":24.937809,"acc":-0.09,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

